Name	Number	BeamID	E	N	U
ant0	0	0	-35.0	-35.0	0.0
ant1	1	0	-21.0	-35.0	0.0
ant2	2	0	-7.0	-35.0	0.0
ant3	3	0	7.0	-35.0	0.0
ant4	4	0	21.0	-35.0	0.0
ant5	5	0	35.0	-35.0	0.0
ant6	6	0	-35.0	-21.0	0.0
ant7	7	0	-21.0	-21.0	0.0
ant8	8	0	-7.0	-21.0	0.0
ant9	9	0	7.0	-21.0	0.0
ant10	10	0	21.0	-21.0	0.0
ant11	11	0	35.0	-21.0	0.0
ant12	12	0	-35.0	-7.0	0.0
ant13	13	0	-21.0	-7.0	0.0
ant14	14	0	-7.0	-7.0	0.0
ant15	15	0	7.0	-7.0	0.0
ant16	16	0	21.0	-7.0	0.0
ant17	17	0	35.0	-7.0	0.0
ant18	18	0	-35.0	7.0	0.0
ant19	19	0	-21.0	7.0	0.0
ant20	20	0	-7.0	7.0	0.0
ant21	21	0	7.0	7.0	0.0
ant22	22	0	21.0	7.0	0.0
ant23	23	0	35.0	7.0	0.0
ant24	24	0	-35.0	21.0	0.0
ant25	25	0	-21.0	21.0	0.0
ant26	26	0	-7.0	21.0	0.0
ant27	27	0	7.0	21.0	0.0
ant28	28	0	21.0	21.0	0.0
ant29	29	0	35.0	21.0	0.0
ant30	30	0	-35.0	35.0	0.0
ant31	31	0	-21.0	35.0	0.0
ant32	32	0	-7.0	35.0	0.0
ant33	33	0	7.0	35.0	0.0
ant34	34	0	21.0	35.0	0.0
ant35	35	0	35.0	35.0	0.0
